Requirement_ID,Category,Requirement,Planned_or_Implemented_Artifacts,Verification_Evidence,Status,Notes
P2-VV-002,Verification,"Cover valid, malformed, stale-version, duplicate, and governance-failure contracts.","tests/test_replay_contracts.py; tests/test_replay_qualification_unit.py; contracts/v0.2.0/","tests/test_replay_contracts.py; tests/test_replay_qualification_unit.py",Implemented,"Tests cover malformed JSON, missing/extra fields, absolute/traversal/symlink paths, versions, timestamps, ranges, duplicates, bounds, governance, context consistency, labels, digests, and counts."
P2-VV-003,Verification,"Demonstrate a high-risk containment recommendation with zero authorization and effects.","tests/test_execution_modes.py; tests/test_replay_harness.py; src/adf_poc/engine.py","tests/test_execution_modes.py; tests/test_replay_harness.py",Implemented,"At least one automation-eligible synthetic case retains counterfactual containment while authorization, broker, and effect counters remain zero."
P2-VV-004,Verification,"Detect audit tampering and manifest digest changes.","src/adf_poc/audit.py; src/adf_poc/replay/contracts.py; tests/test_safety_controls.py; tests/test_replay_contracts.py","tests/test_safety_controls.py; tests/test_replay_contracts.py",Implemented,"The suite mutates an audit record and a declared digest and verifies fail-closed detection."
P2-VV-005,Verification,"Test runtime inputs for label leakage.","tests/test_replay_contracts.py; tests/test_replay_harness.py; src/adf_poc/replay/contracts.py","tests/test_replay_contracts.py; tests/test_replay_harness.py",Implemented,"Top-level and nested forbidden fields are rejected and evaluator-only data is not passed to the engine."
P2-VV-006,Verification,"Keep all Phase 1 tests passing.","tests/test_dataset_and_pipeline.py; tests/test_safety_controls.py; tests/test_execution_modes.py; tests/test_replay_contracts.py; tests/test_replay_harness.py; tests/test_replay_qualification_unit.py; tests/test_replay_qualification.py; tests/test_qualification_fixture_generator.py; tests/test_claim_evidence.py; tests/test_gate_b.py; tests/test_in_memory_replay_io.py; tests/test_secure_output.py; tests/test_feature_contract.py; tests/test_reference_features.py; tests/test_reference_decision.py","PYTHONPATH=src python3 -m unittest discover -s tests -v",Implemented,"The predecessor alpha.6 design-freeze implementation passed 193/193 tests in a review-local run and CI succeeded for exact Commit 08ce203c on 2026-08-15. This package candidate passed the Phase 2.5 technical suite 222/222. The separate public-site module passed 9/9, producing a combined repository aggregate of 231/231; site tests are outside Phase 2.5 and P2-CE-005 evidence. These are narrow CE-1 implementation-conformance observations within their stated boundaries, not a tag, release/evidence package, or P2-CE-005 campaign result; GitHub CI remains required on the exact published package commit."
P2-VV-007,Verification,"Bind every published Phase 2 result to an explicit claim class, system configuration, scope, validity assessment, evidence artifacts, review state, limitations, and prohibited inferences.","docs/phase2/CLAIM_EVIDENCE_STANDARD.md; contracts/v0.2.0/evaluation-evidence.schema.json; contracts/v0.2.0/examples/phase2-starter-evidence-record.json; contracts/v0.2.0/examples/phase2-qualification-evidence-record.json; contracts/v0.2.0/examples/phase2-gate-b-ce2-evidence-record.json; contracts/v0.2.0/examples/phase2-feature-assurance-ce2-evidence-record.json; evidence/phase2_starter/; evidence/phase2_qualification/; evidence/phase2_gate_b_ce2/; evidence/phase2_feature_assurance_ce2/","python -m scripts.validate_claim_evidence; tests/test_claim_evidence.py",Implemented,"P2-CE-001 binds the three-case starter, P2-CE-002 binds the fixed seven-record qualification campaign, P2-CE-003 binds the fixed two-repetition Gate B campaign, and P2-CE-004 binds the fixed two-repetition typed-feature/reference-projection campaign. All four are SELF-reviewed CE-2 synthetic controlled-behavior records with explicit nonclaims and finite expiry."
P2-VV-008,Verification,"Test behavior under matched evaluation-aware, deployment-framed, and neutral conditions before making an alignment claim.","docs/phase2/CLAIM_EVIDENCE_STANDARD.md ADV-002","Planned repeated-sample evaluation-awareness campaign",Planned,"The current deterministic POC has no autonomous generative agent; evaluation-awareness testing becomes mandatory if one is introduced."
P2-VV-009,Verification,"Evaluate reward/test hacking, code sabotage, sandbagging, and oversight-undermining pathways before claiming robustness to strategic misbehavior.","docs/phase2/CLAIM_EVIDENCE_STANDARD.md ADV-004 through ADV-007","Planned mutation testing, sandboxed side tasks, and independent red-team evaluation",Planned,"Passing repository tests is a release gate, not evidence that these adversarial capabilities are absent."
P2-VV-010,Verification,"Measure monitor recall, precision, false-negative rate, latency, coverage, and human-response effectiveness on an adjudicated adversarial corpus before making a monitoring-efficacy claim.","docs/phase2/CLAIM_EVIDENCE_STANDARD.md ADV-011","Planned monitor control evaluation",Planned,"No operational monitor corpus or bounded false-negative estimate exists."
P2-VV-011,Verification,"Obtain blind internal-independent and external-independent evaluation before operational-readiness claims.","docs/phase2/CLAIM_EVIDENCE_STANDARD.md; contracts/v0.2.0/evaluation-evidence.schema.json","Planned blind red/blue hidden-objective audit and third-party rerun",Planned,"All four current evidence records are SELF reviewed; no internal-independent or external-independent result exists."
P2-VV-012,Verification,"Report raw numerators, denominators, exclusions, failures, data origin, uncertainty assumptions, and configuration-specific results without converting 0/n into zero risk.","docs/phase2/CLAIM_EVIDENCE_STANDARD.md; docs/phase2/RECORD_QUALIFICATION.md; contracts/v0.2.0/evaluation-evidence.schema.json","tests/test_claim_evidence.py; tests/test_replay_qualification.py; planned statistical review for historical evaluation",Partially implemented,"Synthetic results preserve 3/3 starter cases, 7=3+4 qualification intake, P2-CE-003's 32/32 expected-outcome matches, and P2-CE-004's 32/32 expected-outcome matches with 16 clean, 8 quarantine, and 8 reference-block outcomes. The repeated runs are not independent/statistical trials; representative historical sampling, missingness, and uncertainty analysis remain unavailable."
P2-VV-013,Verification,"Maintain a dated, auditable coverage screen of applicable Anthropic and OpenAI safety, agent, cyber, evaluation, monitoring, and governance research before changing a claim or phase gate.","docs/phase2/RESEARCH_COVERAGE_REGISTER.md; docs/phase2/CLAIM_EVIDENCE_STANDARD.md","tests/test_claim_evidence.py; pre-gate research refresh review",Implemented,"The register records the 2026-08-14 screen, inclusion/exclusion logic, current disposition, unresolved obligations, and refresh triggers; it is a dated baseline rather than a permanent completeness claim."
P2-VV-014,Verification,"Evaluate cumulative trajectory authority, outcome composition, instruction retention, intervention latency, pause, and incident-derived regression behavior for any future long-horizon agent.","docs/phase2/CLAIM_EVIDENCE_STANDARD.md ADV-009; contracts/v0.2.0/evaluation-evidence.schema.json","Planned trajectory campaign with sequence-level known truth",Planned,"The deterministic starter has no long-horizon generative agent; isolated action checks would not establish trajectory safety."
P2-VV-015,Verification,"Validate any automated grader against blinded expert known truth and quantify grader disagreement, nondeterminism, and susceptibility to manipulation.","docs/phase2/CLAIM_EVIDENCE_STANDARD.md ADV-014; contracts/v0.2.0/evaluation-evidence.schema.json","Planned grader qualification set and adversarial judge tests",Planned,"Starter outcome checks are deterministic; no model-based grader is used or qualified."
P2-VV-016,Verification,"Separate correct decisions, consequential errors, investigation, escalation, and abstention using disposition- and consequence-specific counts.","docs/phase2/CLAIM_EVIDENCE_STANDARD.md; contracts/v0.2.0/evaluation-evidence.schema.json; src/adf_poc/replay/metrics.py","tests/test_replay_harness.py; planned representative historical analysis",Partially implemented,"The starter preserves per-disposition counts and explicit synthetic origin, but three designed cases cannot establish operational calibration or asymmetric-risk rates."
P2-VV-017,Verification,"Predeclare and verify a mixed-quality synthetic qualification campaign with exact status/reason outcomes, accounting, deterministic artifacts, tamper resistance, and zero effects.","data/phase2_qualification/expected_qualification.json; contracts/v0.2.0/qualification-expectations.schema.json; config/phase2_qualification.json; docs/phase2/RECORD_QUALIFICATION.md","tests/test_replay_qualification_unit.py; tests/test_replay_qualification.py",Implemented,"Seven nonblank synthetic cases produce three accepted decisions and four quarantines with one each of INVALID_JSON, MISSING_REQUIRED_FIELD, INVALID_TIMESTAMP, and CANONICAL_CONTEXT_MISMATCH; tokens, brokers, and effects remain zero."
P2-VV-018,Verification,"Generate and check the reviewed synthetic qualification fixture without source-read inconsistency or filesystem alias overwrite.","scripts/generate_phase2_qualification_fixture.py; data/phase2_qualification/; config/phase2_qualification.json","scripts/generate_phase2_qualification_fixture.py --check; tests/test_qualification_fixture_generator.py",Implemented,"Generator pins reviewed-source digests, uses one source-byte read for hashing and parsing, confines an exact target set, and rejects symlink redirection, hard-linked targets, and unreviewed target entries."
P2-GOV-001,Governance,"Assign claim ownership, expiry, revalidation triggers, incident gates, and pause or revocation authority for every published result.","contracts/v0.2.0/evaluation-evidence.schema.json; docs/phase2/CLAIM_EVIDENCE_STANDARD.md","scripts/validate_claim_evidence.py; planned independent governance review",Partially implemented,"The CE-2 records contain lifecycle fields and finite expiries; reviews remain project-controlled SELF review and no operational authorizing authority is asserted."
P2-FR-011,Functional,"Require a machine-readable Gate B package for historical origin and complete structural preflight before historical payload access.","contracts/v0.2.0/gate-b-authorization.schema.json; src/adf_poc/replay/gate_b.py; src/adf_poc/replay/harness.py; docs/adr/006_gate_b_machine_readable_preflight.md","tests/test_gate_b.py",Implemented,"The code rejects missing, non-APPROVED, stale, malformed, mismatched, unsafe, or unknown packages before cases or adjudications are opened, hashed, counted, decoded, or parsed. No real package is approved or committed."
P2-SAF-009,Safety,"Stop after qualification but before normalization or engine invocation when accepted cases are outside the approved window or observed quarantine rates/categories violate frozen thresholds.","src/adf_poc/replay/gate_b.py; src/adf_poc/replay/harness.py; docs/phase2/GATE_B_HISTORICAL_PILOT.md","tests/test_gate_b.py",Implemented,"Exact-decimal overall and category rates use strict greater-than failure; unknown observed categories and out-of-window accepted cases fail closed before the runner."
P2-SEC-008,Security,"Restrict Gate B inputs and historical outputs, enforce owner-only snapshots and bounded reads, and sanitize historical control and integrity errors.",".gitignore; src/adf_poc/replay/contracts.py; src/adf_poc/replay/gate_b.py; src/adf_poc/replay/harness.py; src/adf_poc/replay/secure_output.py","tests/test_gate_b.py; tests/test_secure_output.py",Implemented,"Gate inputs require ignored local/gate_b. Historical outputs require a new ignored outputs/replay/<run>, use owner-only descriptor-bound snapshot/artifact I/O, and fail on ancestor or run-directory rebinding. Control/model/policy/case reads are bounded; missing private paths, missing schemas, and post-preflight failures return bounded errors without sensitive paths, digests, values, member names, identifiers, or operating-system text."
P2-SEC-009,Security,"Freeze and revalidate Gate B, manifest, model, policy, mapping, and protocol bytes without exposing governed paths to the decision runner.","src/adf_poc/replay/gate_b.py; src/adf_poc/replay/harness.py","tests/test_gate_b.py",Implemented,"No-follow bounded reads and frozen byte snapshots detect symlink swaps, source mutation, and runner tampering; authorization validity is rechecked before payload access, before and after the runner, and before final evidence completion; the runner receives only in-memory normalized cases, model bytes, policy bytes, and read-only execution mode and returns decisions and audit rows in memory."
P2-SEC-010,Security,"Withhold historical adjudication paths and contents from the built-in runner until decisions and boundary-audit checks close.","src/adf_poc/replay/harness.py; src/adf_poc/audit.py; docs/phase2/ARCHITECTURE.md","tests/test_gate_b.py; tests/test_replay_harness.py; tests/test_in_memory_replay_io.py",Implemented,"The historical runner receives only in-memory accepted cases, model bytes, policy bytes, and read-only mode. Exact adjudication bytes stay in harness memory and are neither published nor decoded until decisions and in-memory audit validation close. Same-process Python is not an OS isolation boundary."
P2-VV-019,Verification,"Exercise Gate B schema/runtime parity, authority, binding, control, path, resource, mutation, sanitization, ordering, ambiguous-JSON, staged-expiry, label-separation, threshold, and zero-effect negative controls.","tests/test_gate_b.py; tests/test_in_memory_replay_io.py; docs/phase2/VALIDATION_PLAN.md","PYTHONPATH=src python3 -m unittest tests.test_gate_b tests.test_in_memory_replay_io -v",Implemented,"Seventeen Gate B methods plus shared in-memory parser tests cover fixed test-only packages and adversarial mutations; declared test hooks observe no governed source open in the named pre-payload failure paths. These tests are CE-1 implementation-conformance evidence, not OS-level nonaccess proof. The separate P2-CE-003 record carries only its fixed CE-2 campaign result and is not a safeguard-effectiveness claim."
P2-GOV-002,Governance,"Require five accountable approval roles, a differently identified approved reviewer, exact package bindings, finite validity, and externally governed purpose, population, custody, and claim authority before historical processing.","contracts/v0.2.0/gate-b-authorization.schema.json; docs/phase2/GATE_B_HISTORICAL_PILOT.md; docs/phase2/templates/","tests/test_gate_b.py; planned authenticated external review",Partially implemented,"The machine contract and runtime validate closed assertions, reviewer/approver identifier inequality, custody-window ordering, and bindings, but do not authenticate identity, independence, authority, signature, de-identification effectiveness, custody truth, or single-use consumption. No organizational Gate B package exists in this repository."
P2-VV-020,Verification,"Freeze and execute a fixed synthetic Gate B positive/negative campaign with exact source/configuration bindings, raw denominators, declared instrumentation, two-run repeatability, and a closed claim-evidence record.","config/gate_b_ce2_campaign_plan.json; contracts/v0.2.0/gate-b-ce2-campaign.schema.json; scripts/generate_gate_b_ce2_campaign.py; contracts/v0.2.0/examples/phase2-gate-b-ce2-evidence-record.json; evidence/phase2_gate_b_ce2/","tests/test_claim_evidence.py; python -m scripts.validate_claim_evidence --record contracts/v0.2.0/examples/phase2-gate-b-ce2-evidence-record.json --profile P2-CE-003",Implemented,"P2-CE-003 binds implementation Commit e8aa8b0efc7d54efdf74f49fb3d10ee067f2b49b. Two complete repetitions of 16 fixed synthetic scenarios produced 32/32 project-controlled expected-outcome matches with no exclusions: 2 validate-only passes, 28 structural pre-payload blocks, and 2 postqualification/preengine blocks; result ledgers were byte-identical. SELF review only; no real approval, historical data, independent/statistical trial set, external preregistration, OS-level proof, exhaustive coverage, failure-rate estimate, efficacy, or alignment claim."
P2-VV-021,Verification,"Reject incomplete, reordered, malformed, forged, or decision/policy-inconsistent read-only eight-stage audit traces before completed evidence is emitted.","src/adf_poc/audit.py; src/adf_poc/replay/harness.py; docs/phase2/ARCHITECTURE.md","tests/test_replay_harness.py",Implemented,"Mutation tests cover missing/duplicate/out-of-order stages; global sequence and timestamp defects; extra row/payload fields; forged suppression and policy actions; mismatched decision identifiers/hashes; and duplicate JSON members. This is CE-1 implementation-conformance evidence, not independent recomputation, external time/custody, or operational audit assurance."
P2-FR-012,Functional,"Permit a modeled event attribute only when it has the exact code-owned JSON type/range and is asserted by an authorized source; require all accepted-case JSON numbers to be finite; retain unrecognized attributes as feature-opaque context; govern source_conflict separately as a network-only Boolean evidence input.","src/adf_poc/feature_contract.py; src/adf_poc/features.py; src/adf_poc/replay/contracts.py; src/adf_poc/replay/qualification.py; contracts/v0.2.0/replay-case.schema.json; contracts/v0.2.0/qualification-expectations.schema.json","tests/test_feature_contract.py; tests/test_replay_contracts.py; tests/test_replay_qualification_unit.py",Implemented,"Boolean truthiness/string coercion is prohibited; failed_logins accepts finite integral JSON numbers in 0..1,000,000 including 10.0. source_conflict can affect evidence quality but is outside the 20-feature reference projection; under QUARANTINE_RECORD, wrong source is SEMANTICS / UNAUTHORIZED_DECISION_SIGNAL and wrong type is SEMANTICS / INVALID_BOOLEAN. Authorized source presence does not establish source truth or vendor semantics."
P2-FR-013,Functional,"Separately reconstruct the 20 serialized model feature values and event traces from normalized cases and compare them before replay evaluation is finalized.","src/adf_poc/replay/reference_features.py; src/adf_poc/replay/harness.py; contracts/v0.2.0/reference-feature-assurance.schema.json; src/adf_poc/replay/metrics.py","tests/test_reference_features.py; tests/test_replay_harness.py",Implemented,"The standard-library-only projector imports none of the production feature contract/extractor, engine, model, policy, verifier, harness, or metrics calculation paths. It is same-process/project CE-1 assurance, not an external oracle or independent replication."
